track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
0CDucx9lKxuCZplLXUz0iX,Buena Onda Reggae Club,Disco 2,Song for Rollins,16,219346,False,0.841,0.5770000000000001,0,-7.544,1,0.0438,0.23800000000000002,0.86,0.0571,0.843,90.522,4,afrobeat
2aibwv5hGXSgw7Yru8IYTO,Red Hot Chili Peppers,Stadium Arcadium,Snow (Hey Oh),80,334666,False,0.42700000000000005,0.9,11,-3.674,1,0.0499,0.11599999999999999,1.75e-05,0.11900000000000001,0.599,104.655,4,alt-rock
7mULVp0DJrI2Nd6GesLvxn,Joy Division,Timeless Rock Hits,Love Will Tear Us Apart,0,204621,False,0.524,0.902,2,-8.662,1,0.0368,0.000989,0.695,0.13699999999999998,0.907,146.833,4,alternative
6d3RIvHfVkoOtW1WHXmbX3,Little Symphony,Serenity,Margot,27,45714,False,0.26899999999999996,0.142,0,-23.695,1,0.0509,0.866,0.904,0.114,0.321,67.872,3,ambient
481beimUiUnMUzSbOAFcUT,SUPER BEAVER,突破口 / 自慢になりたい,突破口,54,255080,False,0.47200000000000003,0.9940000000000001,8,-1.786,1,0.114,0.0259,0.0,0.0535,0.262,103.512,4,anime
57QCT8L3kFQiN4AXkBRJxW,Dimmu Borgir,Spiritual Black Dimensions,The Blazing Monoliths of Defiance,22,277093,False,0.16899999999999998,0.9490000000000001,4,-6.789,0,0.10099999999999999,2.47e-05,0.000743,0.276,0.11199999999999999,112.758,4,black-metal
3RIeNvIwO6ZRMLiwla7DdY,Whoredom Rife,Whoredom Rife,Gitt Til Odin,17,344466,False,0.107,0.899,9,-6.346,0,0.0666,1.48e-06,3.71e-05,0.389,0.0335,187.43900000000002,3,black-metal
6FmQMYlxRl56FIgOwvRBil,Whoredom Rife,Pakt,En Lenke Smidd I Blod,16,396210,False,0.355,0.9520000000000001,6,-6.477,0,0.0814,4.19e-06,0.17600000000000002,0.36,0.0362,94.97200000000001,3,black-metal
6laLzRAweI0HEOYDMO4Kds,Alison Krauss & Union Station,Live,"Tiny Broken Heart - Live From The Louisville Palace, Kentucky / 2002",25,188400,False,0.466,0.815,9,-8.479,1,0.0355,0.159,0.000236,0.8640000000000001,0.866,112.448,4,bluegrass
5Aq43Qi1j27J5KQkKYYKq0,Old & In The Way,Breakdown,Working On A Building,21,155733,False,0.524,0.23800000000000002,9,-17.01,1,0.0426,0.892,0.0148,0.713,0.6409999999999999,98.94200000000001,4,bluegrass
72E3wMPI5tVY7VoEWLSuhf,Ella Fitzgerald,CHRISTMAS TOP HITS 2022,Frosty The Snowman,0,131733,False,0.579,0.502,8,-7.57,1,0.0513,0.733,0.0,0.281,0.836,76.783,4,blues
3FkzSXO9uZbQ4sgRgR8O0m,Fats Domino,The Fats Domino Jukebox: 20 Greatest Hits The Way You Originally Heard Them,Let The Four Winds Blow - Remastered 2002,32,138693,False,0.588,0.494,10,-10.687000000000001,1,0.0525,0.535,0.0155,0.0942,0.9640000000000001,91.964,4,blues
1hB4340DP1nnBmfWn37uTN,509-E;Dexter;Afro-X,Provérbios 13,Saudades Mil,48,526026,True,0.624,0.589,2,-6.669,1,0.281,0.302,0.0,0.124,0.78,76.847,4,brazil
469w8UmJYEGGMTNafmscjz,Padre Fábio De Melo,Queremos Deus,Espírito Santo Repousa / Faço Novas Todas as Coisas,43,467000,False,0.276,0.5760000000000001,0,-8.672,1,0.0389,0.5820000000000001,0.0,0.636,0.24,139.751,4,brazil
0LBIf9EFHuxmuNig4JHGZo,Timo Maas,Crossing Wires 002 - Compiled And Mixed By Timo Maas,Crossing Wires 002 - Continuous DJ Mix,11,4789026,False,0.6970000000000001,0.632,1,-12.469000000000001,1,0.0451,0.00815,0.871,0.0998,0.151,121.055,4,breakbeat
